Lake_Name,Round ,date,JD,Edible_Chl,dent,cerio ,pulic,Bosmina,parv,ambig,diaph ,scaph ,alona,chaob ,ostr ,cal ,cyc ,overall_m_prev,N_ug,P_ug,Z_bottom,n_max,bfs,d_tcline,t_tcline, depth_Ezi,T_Ezi,d1mgL,mDO,mspc,mpH,mT,mchlv,mchla
Beaver Dam,9,9/24/15,267,3.01,165071.5868,4699.546956,,587.4433695,,,,,,2937.216847,587.4433695,17035.85772,58744.33695,0,350,14.2,8.08,72.125,0.12588,5.15,18.903,4.2,22.451,4.42,7.1633,1332.6,7.3611,22.814,0.020589,1.819
Beaver Dam,10,10/8/15,281,15.95,211479.613,6168.15538,,14979.80592,,,,,,1321.747581,,24232.03899,44498.83524,0,720,22.5,5.65,54.899,0.095817,5.55,17.173,5.1,18.982,5.52,8.3338,1412.1,7.5188,19.955,0.054375,5.5186
Beaver Dam,11,10/22/15,295,4.34,485521.9449,10573.98065,,108383.3017,,,,,,0,,37008.93228,96928.15597,0.002057613,590,32.8,2.48,18.11,0.031608,1.45,15.152,2.48,14.87,2.48,8.55,432.08,7.88,15.574,0.02676,2.4947
Beaver Dam,12,11/5/15,308,3.71,,,,,,,,,,,,,,0,555,15.7,4.02,11.683,0.020391,4,14.886,4.02,14.88,4.02,9.2114,1258.3,7.6343,15.427,0.018043,1.5402
Beaver Dam,13,11/19/15,322,6.1,,,,,,,,,,,,,,0.003694581,655,30.2,2.68,5.7868,0.0101,2.25,10.5,2.68,10.49,2.68,9.5543,410.83,7.6871,10.541,0.11173,11.799
Beaver Dam,14,12/3/15,337,11.5,54632.23336,,,196793.5288,,,,,,0,,64031.32727,5286.990325,0,610,14.65,2.61,6.8929,0.01203,1.45,6.4703,2.61,6.28,2.61,11.018,414.72,7.74,6.744,0.0522,5.2804
Benefiel,1,4/27/15,117,3.68,22205.35937,11278.91269,3877.126239,10221.51463,,20090.56324,2114.79613,,,0,,61329.08777,49697.70906,0,329,8.97,7.56,42.321,0.073865,3.4,12.297,2.35,14.994,7.56,9.9225,1573.3,7.785,15.355,0.011275,0.79911
Benefiel,2,5/14/15,134,1.79,107942.7191,97809.32102,1762.330108,24672.62152,,82829.5151,10573.98065,,,0,,56394.56347,73577.28203,0,435,8.43,7.85,66.655,0.11634,2.95,19.585,2.65,21.067,7.85,8.8125,1594,7.915,21.227,0.010425,0.70604
Benefiel,3,6/24/15,175,2.96,518125.0519,7930.485488,58156.89358,,,,2643.495163,,,9692.815597,,53751.06831,74017.86456,0,396,10.8,7,75.172,0.1312,2.85,24.559,2.15,26.923,7,7.6133,1622.3,7.79,27.46,0.010667,0.7325
Benefiel,4,7/16/15,197,3.02,306645.4389,881.1650542,43177.08766,,,,,,,0,,52869.90325,74899.02961,0,344,8.91,7.01,64.228,0.1121,4.2,20.369,2.5,26.752,7.01,7.9533,1585.7,7.9033,27.31,0.0099667,0.65585
Benefiel,5,8/3/15,215,2.36,343654.3711,5286.990325,35246.60217,,,,,,,0,1762.330108,65206.21401,116313.7872,0,389,5.99,7.04,74.454,0.12995,3.35,27.364,3,28.87,7.04,7.4833,1637.7,7.8833,29.39,0.010933,0.7617
Benefiel,6,8/20/15,232,4.88,292546.798,6168.15538,17623.30108,,,,,,,0,,59919.22369,130412.428,0,323,8.83,7.07,66.901,0.11676,4.1,25.71,3.8,26.83,7.07,7.618,1682.8,7.782,27.3,0.01074,0.74053
Benefiel,7,9/2/15,245,3.46,253775.5356,10573.98065,52869.90325,,,,,,,0,,75780.19466,103977.4764,0,419,8.04,7.01,55.013,0.096016,5.2,22.321,4.1,25.559,7.01,8,1729.8,7.788,26.29,0.01248,0.93106
Benefiel,8,9/15/15,258,4.44,405335.9249,93403.49575,30840.7769,881.1650542,,,,,,0,1762.330108,116313.7872,143629.9038,0.059270517,397,10,7.4,54.188,0.094575,5.3,22.807,5.05,23.512,7.32,7.4143,1774.6,7.62,23.883,0.013371,1.0287
Benefiel,9,10/1/15,274,4.71,311051.2641,29078.44679,16742.13603,,,,,,,7049.320434,,91641.16564,66087.37907,0.162337662,378,8.23,7.24,51.532,0.089941,6.5,20.546,6.1,21.757,7.23,8.9186,1913.1,7.5329,22.05,0.018329,1.5715
Benefiel,10,10/15/15,288,3.9,150679.2243,173589.5157,,,,,8811.650542,,,6168.15538,881.1650542,202667.9625,99571.65113,0.021352313,397,8.23,7.11,47.002,0.082033,7.1,18.277,6.7,19.35,7.11,8.5782,2025.9,7.5645,19.038,0.0212,1.8859
Benefiel,12,10/29/15,302,4.15,148035.7291,253775.5356,,,,,5286.990325,,,0,881.1650542,141867.5737,52869.90325,0.030379747,430,8.82,6.92,3.0558,0.0053334,3.95,16,6.92,16.62,6.92,8.8729,1901,7.7557,15.991,0.017214,1.4495
Benefiel,13,11/12/15,316,4.03,148623.1725,133937.0882,,,,,,,587.4433695,0,,86354.17531,30547.05521,0.004830918,432,7.9,7.29,2.4702,0.0043113,5.75,14.035,7.29,15.31,7.29,9.0987,1831.4,7.58,13.977,0.0166,1.3822
Benefiel,14,11/30/15,334,1.86,203842.8492,8811.650542,,,,,,,,0,,22322.84804,18210.74445,0,365,11.8,7.39,2.1705,0.0037882,4.5,9.865,7.39,10.03,7.39,9.7575,1816.6,7.6325,9.8812,0.015275,1.2371
Canvasback,1,4/6/15,96,8.15,8224.207173,,4699.546956,,2937.216847,,,,,587.4433695,,135111.975,400636.378,,447,11.6,11.02,23.348,0.04075,3.5,9.8312,2.4,11.482,10.51,11.977,2389,7.9733,11.783,0.0196,1.7107
Canvasback,2,5/4/15,124,3.35,195031.1987,,34659.1588,,7636.763803,,,,,0,,133937.0882,810671.8499,0,455,14.4,10.12,45.881,0.080078,4.2,13.11,2.15,18.106,10.12,11.175,2367,8.0175,18.51,0.009625,0.61844
Canvasback,3,6/3/15,154,5.29,888214.3747,,139224.0786,,7049.320434,,,,,0,,33484.27206,1161375.541,0,354,10.1,11.19,70.575,0.12318,4.25,16.237,3.2,21.232,10.92,8.78,2460,7.954,21.662,0.01158,0.83251
Canvasback,4,7/9/15,189,2.71,,,,,,,,,,,,,,0,373,7.96,12.06,78.437,0.1369,3.9,21.905,3,24.919,9.97,7.9375,2373,8,25.142,0.01405,1.103
Canvasback,5,8/4/15,215,1.37,,,,,,,,,,,,,,0.004587156,313,9.88,10.42,79.418,0.13861,4.25,24.229,3.35,28.754,9.95,7.9025,2416,8.1125,28.892,0.009175,0.56916
Canvasback,6,8/26/15,238,3.74,641488.1595,,257300.1958,,,,,,,0,,51107.57315,763088.937,0,321,12,11.04,76.621,0.13373,4.8,22.817,4.15,25.041,10.76,8.7917,2471,7.9767,25.232,0.00945,0.59928
Canvasback,7,9/7/15,250,2.74,505788.7411,,215004.2732,,,,,,,1762.330108,,24672.62152,1083833.017,0.020512821,299,9.07,12.02,70.379,0.12284,6.55,15.98,3.1,27.578,11.15,8.555,2484.3,8.0775,27.865,0.009275,0.58011
Canvasback,8,9/24/15,267,2.45,80186.01993,,152441.5544,,,,,,,1762.330108,,3524.660217,409741.7502,0.120689655,313,9.28,12.04,65.125,0.11366,6.2,19.457,5.25,22.655,11.7,9.3333,2519.8,8.0083,22.737,0.011933,0.8712
Canvasback,9,10/8/15,281,2.55,95753.26923,,289609.5812,,,,,,,5286.990325,,15860.97098,658524.0172,0.120915033,306,7.73,13.52,51.114,0.089211,7.15,16.659,6.3,19.266,11.79,9.6308,2533.8,7.9425,19.965,0.013742,1.0692
Canvasback,10,10/22/15,295,4.44,229984.0792,,72255.53445,,,,,,,7930.485488,,26434.95163,277566.9921,0.196226415,360,,14.5,41.952,0.073219,7.9,15.834,7.65,16.548,11.95,10.16,2574.7,7.9961,16.815,0.013739,1.0689
Canvasback,11,11/5/15,308,5.5,,,,,,,,,,,,,,0.238636364,349,9.93,16.05,31.531,0.055031,9.85,12.756,1.45,15.863,12.2,10.245,2469,7.815,16.255,0.01865,1.6067
Canvasback,12,11/19/15,322,4.94,,,,,,,,,,,,,,0.24796748,394,16.9,7.8,2.4249,0.0042322,6.5,12.265,7.8,12.26,7.8,9.61,1506.2,7.955,12.264,0.02209,1.9834
Canvasback,13,11/25/15,329,,,,,,,,,,,,,,,0.120689655,,,,,,,,,,,,,,,,
Canvasback,14,12/3/15,337,4.53,172708.3506,587.4433695,46995.46956,,,,,,,5286.990325,,113964.0137,139224.0786,0.050359712,337,13.2,15.84,15.773,0.027529,14.5,8.3576,14.35,8.5277,14.84,9.776,1521.9,7.8187,8.8573,0.02228,2.0042
Chapel,5,8/26/15,238,,197380.9721,148035.7291,3524.660217,1258303.697,151560.3893,,8811.650542,,,19385.63119,40533.59249,42295.9226,119838.4474,0,,,,,,,,,,,,,,,,
Chapel,7,9/2/15,245,10.53,382425.6335,216766.6033,1762.330108,1339370.882,308407.769,,10573.98065,,,24672.62152,49345.24304,162134.37,169183.6904,0,416,34.3,3.53,142.35,0.24845,2,24.109,2,24.109,3.1,3.3125,293.02,7.0725,23.748,0.022175,1.9927
Chapel,8,9/14/15,257,9.81,1067972.046,213241.9431,,,179757.6711,,12336.31076,,,38771.26239,370089.3228,132174.7581,241439.2249,0,469,,,,,,,,,,,,,,,
Chapel,9,9/28/15,271,9.56,129824.9847,2937.216847,,5286.990325,20560.51793,,587.4433695,,,9986.537281,58744.33695,28784.7251,28197.28174,0,442,15.2,3,20.285,0.035405,3,20.43,3,20.43,2.81,4.1525,300.25,7.1225,21.26,0.031225,2.9836
Chapel,10,10/2/15,275,22.92,191212.8168,5286.990325,440.5825271,9692.815597,9692.815597,,,,,0,15860.97098,19826.21372,37449.5148,0,591,23.9,,,,,,,,,,,,,,
Chapel,12,10/26/15,299,16.43,1958.829916,351.5848566,75.33961214,9743.92317,3641.414587,,,,,25.11320405,1180.32059,5901.602951,7885.54607,0.03,665,18.3,,,,,,,,,,,,,,
Chapel,13,11/9/15,313,10.71,13658.05834,2643.495163,2643.495163,77101.94225,43177.08766,440.5825271,,,881.1650542,440.5825271,5286.990325,85032.42773,77983.1073,0,569,20.4,6.02,6.43,0.011223,4.6,12.046,6.02,12.02,6.02,3.905,301.41,7.0437,12.134,0.026675,2.4854
Chapel,14,11/23/15,327,11.72,14979.80592,5286.990325,881.1650542,712862.5289,60800.38874,,,,,0,5286.990325,221172.4286,304883.1088,0,719,19.5,11.56,12.6,0.021992,10.85,12.374,11.56,12.31,11.49,4.8467,896.24,7.1356,8.6289,0.020222,1.7788
Clear,6,8/26/15,238,,182841.7488,16301.5535,,11895.72823,7489.902961,440.5825271,,,,16742.13603,,1321.747581,52429.32073,0.076749436,,,,,,,,,,,,,,,,
Clear,7,9/14/15,257,15.39,248488.5453,17623.30108,587.4433695,,6461.877064,1174.886739,587.4433695,587.4433695,1174.886739,24672.62152,,587.4433695,101627.7029,0.186721992,796,,3.55,60.844,0.10619,3.55,20.7,3.35,21.189,3.55,4.1775,220.85,7.4575,21.94,0.04275,4.2456
Clear,9,9/28/15,271,23.57,154203.8845,440.5825271,,,8811.650542,,,,,22029.12636,,,33043.68953,0.19124424,753,19.1,2.94,20.855,0.036399,2.3,21.029,2.94,20.74,2.92,6.1825,221.3,7.6775,22.063,0.030625,2.9179
Clear,10,10/12/15,285,13.31,473185.6341,881.1650542,,,5286.990325,881.1650542,,,,2643.495163,881.1650542,6168.15538,183282.3313,0.262877442,829,18.9,5.43,125.08,0.2183,4.05,16.703,2.1,17.958,3.58,4.9214,225.91,7.4457,16.693,0.045414,4.5374
Clear,12,10/26/15,299,19.7,152882.1369,,,,881.1650542,,,,,440.5825271,,10573.98065,172267.7681,0.247619048,951,17,,,,,,,,,,,,,,
Clear,13,11/9/15,313,21.49,89526.36951,352.4660217,,,,,,,,0,,5639.456347,63443.8839,0.377737226,878,26,5.17,8.939,0.015602,2.3,12.737,5.17,12.63,5.17,4.5086,214.6,7.13,12.88,0.061014,6.2456
Clear,14,11/23/15,326,22.3,,,,,,,,,,,,,,0.25,936,17,,,,,,,,,,,,,,
Corky,1,4/27/15,117,3.62,13217.47581,1762.330108,112789.1269,5286.990325,881.1650542,3524.660217,440.5825271,,,440.5825271,881.1650542,14979.80592,213682.5257,0,401,16.9,13.11,34.387,0.060017,2.5,15.273,2.05,16.122,13.11,10.323,1901.3,7.03,16.227,0.010133,0.6741
Corky,2,5/4/15,124,3.01,5727.572852,15860.97098,135258.8358,1762.330108,9252.233069,,1321.747581,,,0,,7930.485488,149798.0592,0,227,11.1,12.18,64.796,0.11309,2.25,20.25,2,21.343,12.18,9.8033,2117.3,7.3467,21.317,0.012567,0.94055
Corky,3,6/24/15,175,3.21,285497.4776,1174.886739,72842.97782,,,,,,,1174.886739,1762.330108,52282.45988,110439.3535,0,539,14.4,9.06,50.008,0.08728,2.2,25.07,1.45,27.043,9.06,7.63,1637.5,7.49,27.94,0.01155,0.82923
Corky,4,7/16/15,197,3.52,401811.2647,587.4433695,26434.95163,,,,,,,3524.660217,7049.320434,22910.29141,58156.89358,0,298,11.7,12.8,44.72,0.078051,2.3,26.292,1.65,27.515,12.32,8.0625,1857,7.2325,27.203,0.0113,0.80185
Corky,5,8/3/15,215,3.77,345416.7013,2643.495163,16742.13603,,,,,,,2643.495163,,37890.09733,101333.9812,0,317,10.2,11.75,50.225,0.087659,2.4,28.403,2.05,29.075,11.49,7.655,2188.8,7.175,29.01,0.010225,0.68414
Corky,6,8/20/15,232,5.85,168743.1079,2643.495163,2643.495163,3524.660217,,,440.5825271,,440.5825271,2202.912636,3084.07769,11014.56318,60800.38874,0,248,13,7.86,52.056,0.090855,6.15,22.522,3.15,26.801,7.86,6.955,2418.7,7.0467,26.848,0.016167,1.3347
Corky,7,9/2/15,245,3.24,538685.5698,15860.97098,1174.886739,587.4433695,,,587.4433695,,,10573.98065,,39358.70576,11161.42402,0,321,15,7.97,48.989,0.085502,6.3,22.59,5.85,23.507,7.91,6.5471,2551.3,7.0586,25.399,0.012257,0.90666
Corky,8,9/15/15,258,4.72,30840.7769,21147.9613,220.2912636,220.2912636,,,2423.203899,,,2863.786426,19826.21372,38771.26239,74678.73835,0,250,12.7,7,47.398,0.082725,7,21.68,6.65,22.479,6.67,5.5633,2629.2,7.0089,22.784,0.014811,1.1863
Corky,9,10/1/15,274,3.53,149357.4767,54632.23336,,440.5825271,,,3524.660217,,,1321.747581,440.5825271,58597.47611,130412.428,0,214,9.45,9.91,37.99,0.066305,8.35,18.85,7.15,21.074,7.3,5.7778,2670.9,7.1589,21.547,0.012556,0.93933
Corky,10,10/15/15,288,3.47,74458.44708,56394.56347,,440.5825271,,,3524.660217,,,0,440.5825271,79745.43741,56394.56347,0,238,12.3,10.05,32.562,0.056831,9.55,16.876,9,17.757,9.1,6.8732,2700.4,7.2947,18.191,0.013858,1.0819
Corky,12,10/29/15,302,2.27,168596.247,54044.78999,,,,,3524.660217,,,0,,155672.4929,103977.4764,0.002906977,278,19,10.94,32.413,0.056571,10.9,15.097,10.7,15.389,10.74,7.45,2736.3,7.385,15.469,0.011933,0.8712
Corky,13,11/12/15,316,3.35,219703.8202,7636.763803,,,,,2937.216847,,,0,,123950.551,64618.77064,0,305,16.4,11.97,4.108,0.0071698,5.85,13.551,11.97,13.69,11.93,7.8282,2611.6,7.1818,13.563,0.015018,1.209
Corky,14,11/30/15,334,3.36,161693.7875,881.1650542,,,,,,,,0,440.5825271,81507.76752,44058.25271,0,257,10.2,14.41,5.9375,0.010363,3.95,9.5798,14.41,9.29,14.41,9.365,2576,7.465,9.4143,0.013086,0.99739
Crystal,,8/26/15,238,,8224.207173,202667.9625,,2349.773478,,,,,,1174.886739,,1174.886739,233215.0177,0,,,,,,,,,,,,,,,,
Dogwood,1,4/27/15,117,3.87,22029.12636,19385.63119,,40533.59249,,265230.6813,881.1650542,,,0,,92522.33069,373613.983,0,493,23,8.79,37.61,0.065642,2.95,12.878,2.25,14.691,8.79,11.145,1004,7.7425,15.268,0.013075,0.99621
Dogwood,2,5/14/15,134,2.48,130412.428,206192.6227,,10573.98065,,662636.1208,1762.330108,,,0,,118076.1173,174470.6807,0,534,11.2,8.11,52.103,0.090938,3.05,16.79,2.1,20.293,8.11,9.88,1024.3,7.7667,20.87,0.011733,0.8493
Dogwood,3,6/24/15,175,4.94,706694.3735,88116.50542,31721.94195,,,5286.990325,,,,0,,44058.25271,156847.3797,0,515,18.6,9.95,29.399,0.051311,8.5,9.85,6.15,12.62,9.76,12,1305,7.17,12.71,0.0222,1.9954
Dogwood,4,7/16/15,197,5.17,634438.839,75780.19466,79304.85488,3524.660217,,,3524.660217,,,0,,135699.4184,808909.5198,0,552,,3.08,59.793,0.10436,3.05,24.842,2.15,26.088,3.08,6.01,1047.7,7.65,26.667,0.020533,1.8129
Dogwood,5,8/3/15,215,6.81,882927.3843,269636.5066,146273.399,35246.60217,,,,,,0,,334842.7206,868828.7435,0,554,8.77,8.5,70.386,0.12285,3.35,25.911,2.7,27.968,8.24,4.9175,1087.3,7.6025,28.577,0.02065,1.8257
Dogwood,6,8/20/15,232,8.4,195618.642,63443.8839,31721.94195,29959.61184,,14098.64087,,,,0,,61681.5538,264349.5163,0,499,13.8,7.95,71.294,0.12443,4.65,22.168,3.45,26.096,7.17,5.2133,1112.2,7.5067,26.612,0.024633,2.2618
Dogwood,7,9/2/15,245,13.46,588618.2562,262587.1862,14098.64087,26434.95163,,,1762.330108,,,0,5286.990325,126887.7678,426483.8862,0,591,16.3,5.66,61.303,0.10699,4.65,21.918,3.9,24.234,5.38,6.3675,1138.5,7.625,25.253,0.021325,1.8996
Dogwood,8,9/15/15,258,10.72,246726.2152,363040.0023,,287259.8077,,,,,,0,14098.64087,84591.84521,407098.2551,0,647,20.7,5.39,63.781,0.11132,5.35,20.01,4.65,22.257,5.17,4.8717,1159.2,7.505,22.682,0.024083,2.2016
Dogwood,9,10/1/15,274,9.02,422959.226,622102.5283,,45820.58282,,,35246.60217,,1762.330108,1762.330108,19385.63119,160372.0399,371851.6529,0,717,15.4,9.23,61.757,0.10779,5.55,20.067,5.25,20.732,5.51,4.8475,1175.4,7.5362,21.12,0.02005,1.76
Dogwood,10,10/15/15,288,6.62,340129.7109,408860.5852,,47582.91293,,,31721.94195,,1762.330108,7049.320434,,107502.1366,308407.769,0,699,18.8,8.84,48.754,0.085091,6.65,17.13,6.55,17.419,6.72,5.7475,1197.5,7.6463,17.811,0.023563,2.1446
Dogwood,12,10/29/15,302,8.74,224697.0888,227340.584,,185925.8264,,,14098.64087,,,0,,115432.6221,288140.9727,0,736,16.2,7.94,37.394,0.065265,7.9,13.818,7.4,15.016,7.85,6.1511,1202,7.6711,15.177,0.036389,3.5491
Dogwood,13,11/12/15,316,14.46,203549.1275,44058.25271,,225578.2539,,1762.330108,3524.660217,,,0,,6168.15538,229984.0792,0.02688172,774,17.8,7.59,5.153,0.0089937,2.7,13.154,7.59,12.98,7.59,7.1063,1148.9,7.5025,13.079,0.045537,4.5509
Dogwood,14,11/30/15,334,8.6,151560.3893,6168.15538,,445869.5174,,15860.97098,881.1650542,,,0,,12336.31076,158609.7098,0,636,20.5,9.09,6.1561,0.010744,1.45,9.2374,9.09,9.09,9.09,7.655,1130.8,7.5475,9.175,0.026838,2.5032
Downing,1,4/6/15,96,2.2,1582.131855,,477.1508769,,,,,,,0,,1230.546998,12431.036,0,222,10.1,8.36,21.338,0.037242,2.3,10.011,1.45,11.181,8.36,11.275,1650.5,8.015,11.815,0.0153,1.2398
Downing,2,5/4/15,124,2.5,4093.452259,251.1320405,1104.980978,50.22640809,,,,,,0,,2260.188364,5072.867217,0,296,9.33,9.37,39.872,0.06959,3.35,13.461,1.45,18.224,9.37,9.76,1663,7.955,19.26,0.0111,0.77995
Downing,3,6/3/15,154,2.49,643250.4896,11455.1457,40533.59249,881.1650542,,,,,,1762.330108,881.1650542,7049.320434,87235.34037,0,303,8.08,8.09,56.322,0.0983,3.3,18.942,2.55,20.708,8.09,8.8425,1763.8,7.9825,21.175,0.0109,0.75805
Downing,4,7/16/15,196,2.43,,,,,,,,,,,,,,0.001769912,265,10.2,8.37,54.394,0.094936,4.45,21.383,3,25.821,8.37,8.2633,1695,8.0367,27.063,0.010167,0.67775
Downing,5,8/4/15,215,2.22,,,,,,,,,,,,,,0.005128205,435,13.5,8.85,72.634,0.12677,3.75,26.529,3.1,28.423,8.85,7.895,1747,8.005,28.552,0.010625,0.72794
Downing,6,8/26/15,238,4.76,358634.1771,2643.495163,68730.87423,,,,,1762.330108,,881.1650542,3524.660217,40533.59249,55513.39842,0.030252101,349,12.1,9.1,61.126,0.10668,5.3,23.192,4.6,25.217,9.1,9.72,1817,7.9267,25.558,0.0121,0.88945
Downing,7,9/14/15,257,3.64,223228.4804,2937.216847,13511.1975,,,,,,587.4433695,2349.773478,5286.990325,21147.9613,96928.15597,0.162055336,441,13.2,7.54,65.442,0.11422,7.05,19.061,5.6,23.868,6.76,8.455,1870.6,7.7537,24.075,0.011988,0.87713
Downing,9,9/28/15,271,3.75,259649.9693,587.4433695,39358.70576,,,,,,,1174.886739,,51695.01651,182107.4445,0.127192982,285,9.26,6.54,43.398,0.075743,6.5,21.673,6.15,22.445,6.51,8.2,1894.3,7.7243,22.973,0.012786,0.96454
Downing,10,10/12/15,285,4.01,326912.2351,,16742.13603,,,,,,,881.1650542,,42295.9226,183282.3313,0.097264438,345,7.94,8.5,130.4,0.22759,7.05,19.78,1.45,18.617,7.52,8.5925,1974.5,7.73,18.602,0.012425,0.92504
Downing,11,10/26/15,298,2.66,,,,,,,,,,,,,,0.124105012,372,7.3,,,,,,,,,,,,,,
Downing,12,11/9/15,312,2.67,,,,,,,,,,,,,,0.128062361,339,11.5,7.94,6.8984,0.01204,7,14.74,7.94,14.73,7.94,8.8778,1916.8,7.6056,14.783,0.015078,1.2155
Downing,13,11/23/15,326,4.3,,,,,,,,,,,,,,0,368,9.18,8.77,5.3027,0.009255,1.55,10.568,8.77,10.48,8.77,9.7,1922,7.687,10.529,0.01388,1.0844
Frank,1,4/27/15,117,5.41,55072.81589,3965.242744,,881.1650542,,,,,,30840.7769,,3084.07769,11455.1457,0,284,14.8,9.11,34.861,0.060845,2.5,12.464,2.05,13.53,8.19,11.733,2478.7,7.2367,13.96,0.011633,0.83835
Frank,2,5/14/15,134,2.22,267286.7331,16448.41435,,,,,,,,16448.41435,,58156.89358,49932.68641,0,269,12.2,8.83,53.167,0.092794,2.7,15.381,1.45,19.7,8.77,9.415,2466,7.585,19.92,0.0107,0.73615
Frank,3,6/24/15,175,4.73,195618.642,126300.3244,,,,,587.4433695,,,18210.74445,,140398.9653,156259.9363,,299,16.9,9.15,61.956,0.10813,1.85,25.044,1.45,26.43,9.08,6.745,2393.5,7.59,27.235,0.01335,1.0263
Frank,4,7/16/15,197,3.83,135699.4184,62122.13632,,,,,,,,57716.31105,,22469.70888,37449.5148,0,294,13.5,8.05,60.127,0.10494,2.3,23.486,1.55,26.188,8.05,7.96,2493.3,7.2867,26.323,0.0142,1.1194
Frank,5,8/3/15,215,2.4,165218.4477,9692.815597,,,,,,,,27316.11668,,7049.320434,44939.41777,0,401,16.7,7.58,61.752,0.10778,2.35,26.348,2.05,27.338,7.16,9.23,2706,7.245,27.865,0.0128,0.9661
Frank,6,8/20/15,232,3.89,259062.5259,121013.3341,,,,,,,587.4433695,57569.45021,,2349.773478,178582.7843,0,270,21.2,10.96,64.239,0.11212,3.3,24.178,2.4,25.999,6.95,7.4,2721.3,7.2,26.13,0.0136,1.0537
Frank,7,9/2/15,245,2.87,421196.8959,258181.3609,,,,,881.1650542,,881.1650542,145392.2339,,5286.990325,128650.0979,0,312,22.6,6.46,55.213,0.096366,5.55,17.329,3.35,23.971,6.35,8.5375,2782.5,7.3575,24.883,0.010275,0.68961
Frank,8,9/15/15,258,3.51,150679.2243,139224.0786,,,,,,,,86354.17531,,5286.990325,94284.6608,0,251,18.6,6.58,54.153,0.094514,4.85,20.985,4.55,21.912,6.54,11.537,2835.5,7.2083,22.215,0.017317,1.4607
Frank,9,10/1/15,274,3.48,219116.3768,96928.15597,,,,,,,,64618.77064,587.4433695,29959.61184,114551.457,0,245,12.6,11.93,53.02,0.092537,6.45,16.558,5.3,20.649,6.63,10.635,2849.8,7.3375,20.891,0.016038,1.3206
Frank,10,10/15/15,288,2.1,1001003.502,222053.5937,,,,,,,,223815.9238,,103977.4764,246726.2152,0,259,15,15.77,49.022,0.085559,7.7,14.164,6.65,15.798,7.73,8.5791,2886.3,7.56,16.322,0.013673,1.0617
Frank,12,10/29/15,302,2.21,674972.4315,176233.0108,,,,,,,,58156.89358,,118076.1173,229102.9141,0,283,15.2,7.97,38.9,0.067894,7.95,13.592,7.3,15.106,7.87,8.32,2873.3,7.6037,15.434,0.013275,1.0181
Frank,13,11/12/15,316,3.07,285497.4776,30840.7769,,,,,,,,69612.03928,,175351.8458,100452.8162,0,294,16.7,8.45,34.564,0.060326,8.35,13.179,8.15,13.652,8.38,8.26,2785.9,7.3075,13.634,0.036775,3.5914
Frank,14,11/30/15,334,2.51,474066.7992,97809.32102,,,,,,,,7049.320434,,154203.8845,73136.6995,0.005449591,447,24.1,9.4,19.275,0.033642,8.3,10.239,8.3,10.239,8.9,8.8167,2737.7,7.5011,9.9956,0.013389,1.0306
Front,5,8/26/15,238,,93697.21743,3818.381902,1468.608424,,293.7216847,,,,293.7216847,32603.10701,,4993.268641,80479.74162,,,,,,,,,,,,,,,,,
Front,6,8/27/15,239,12.13,126887.7678,3524.660217,352.4660217,,,,,,,86706.64134,,1762.330108,35951.53421,,,,8.17,99.773,0.17414,3.4,19.602,1.8,25.093,4.41,7.9333,155.25,7.7933,25.545,0.019083,1.6541
Front,7,9/14/15,257,11.33,79598.57657,587.4433695,,,293.7216847,,,,,25260.06489,,587.4433695,20266.79625,0,666,24.6,4.02,71.132,0.12415,3.9,16.645,3.05,22.435,3.99,8.36,155.49,8.0257,23.063,0.074414,7.7129
Front,9,9/24/15,267,26.92,110365.923,6388.446643,1542.038845,,,,440.5825271,,,12997.18455,,5286.990325,69832.33055,0,765,16.4,7.73,66.552,0.11615,3.85,17.963,2.85,21.877,3.63,9.406,156.12,8.51,22.384,0.02082,1.8443
Front,10,10/8/15,281,22.42,336017.6073,,1174.886739,2937.216847,,,,,,4699.546956,,8811.650542,170946.0205,0.002197802,1050,21.5,5.52,46.675,0.081463,4.5,14.389,1.45,19.371,4.2,10.695,157.1,8.795,21.172,0.021775,1.9489
Front,11,10/22/15,295,23.77,355109.5169,881.1650542,,5286.990325,,,,,,881.1650542,,881.1650542,325149.905,0.011673152,1100,21.8,5.14,10.231,0.017856,1.45,16.248,5.14,16.09,5.14,9.2645,1325.1,7.6764,16.267,0.014936,1.2
Front,12,11/5/15,309,24.67,346297.8663,,,881.1650542,,,,,,881.1650542,,1762.330108,519887.382,0.039039039,1050,31.9,4.9,28.16,0.049149,4.9,13.07,4.6,13.565,4.9,8.545,152.82,7.415,14.505,0.0307,2.9261
Front,13,11/19/15,323,22.76,230277.8008,,,,,,,,,0,,7049.320434,193856.3119,0.004237288,1330,45,3.01,5.6088,0.0097892,1.6,11.741,3.01,11.71,3.01,9.496,1256,7.584,11.782,0.0166,1.3822
Gambill,1,4/6/15,96,3.06,,,2056.051793,293.7216847,,,,,,0,,32015.66364,8517.928858,0,228,10.5,9.31,20.455,0.0357,1.7,11.256,1.45,11.544,9.31,11.33,1450,7.78,11.775,0.0198,1.7326
Gambill,2,5/4/15,124,2.48,34365.43711,881.1650542,,,,149798.0592,,,,0,3524.660217,97809.32102,386831.4588,0,263,8.92,10.3,44.911,0.078384,3.5,14.175,1.45,17.519,10.19,9.9367,1451.3,7.93,18.347,0.010767,0.74345
